,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,first_genre,second_genre,third_genre,top_critic_review_count,review_count,star_power
180,X-Men: Days of Future Past,250000000,26.058586,2014,"807,894,007.47",131,7.5,6155,Action & Adventure,Science Fiction & Fantasy,,56,314,1
181,Rocky,1000000,14.774066,1976,"526,837,031.42",119,7.5,1843,Drama,Sports & Fitness,,11,53,1
182,The Blues Brothers,27000000,10.076901,1980,"357,576,248.46",133,7.5,1092,Action & Adventure,Comedy,,11,41,0
183,"Lock, Stock and Two Smoking Barrels",1350000,4.60786,1998,"6,114,161.92",105,7.5,1671,Action & Adventure,Comedy,Drama,19,55,0
184,Gattaca,36000000,12.89312,1997,"19,966,548.78",106,7.5,1846,Drama,Science Fiction & Fantasy,,13,55,1
185,Boyhood,4000000,6.430591,2014,"47,908,911.28",164,7.5,2008,Drama,,,64,310,0
186,The Exorcist,8000000,12.137595,1973,"2,541,486,064.79",122,7.5,2046,Classics,Horror,,19,65,0
187,Jaws,7000000,19.726114,1975,"2,236,918,732.34",124,7.5,2628,Action & Adventure,Drama,Mystery & Suspense,20,76,1
188,Edward Scissorhands,20000000,17.612244,1990,"103,688,599.85",105,7.5,3731,Drama,Science Fiction & Fantasy,Romance,9,41,1
189,The Game,50000000,14.825587,1997,"174,327,892.80",129,7.5,1556,Mystery & Suspense,,,15,51,1
190,Titanic,200000000,26.88907,1997,"2,939,409,606.68",194,7.5,7770,Action & Adventure,Classics,Drama,0,8,1
191,Titanic,200000000,26.88907,1997,"2,939,409,606.68",194,7.5,7770,Drama,Romance,,0,8,1
192,Blow,53000000,12.332223,2001,"120,244,399.14",124,7.4,1352,Drama,,,36,127,1
193,Fury,68000000,36.713807,2014,"228,820,610.75",135,7.4,4028,Classics,Drama,Mystery & Suspense,0,11,2
194,Fury,68000000,36.713807,2014,"228,820,610.75",135,7.4,4028,Action & Adventure,Drama,,0,11,2
195,Star Trek,150000000,15.362632,2009,"459,759,860.34",127,7.4,4574,Action & Adventure,Drama,Science Fiction & Fantasy,59,341,1
196,Back to the Future Part II,40000000,13.689855,1989,"684,616,129.03",108,7.4,3926,Comedy,Science Fiction & Fantasy,,14,45,1
197,Birdman,18000000,18.193263,2014,"111,500,209.28",119,7.4,4657,Comedy,Drama,,61,338,1
198,The Danish Girl,15000000,11.245661,2015,"69,256,423.76",120,7.4,1689,Drama,,,46,234,1
199,The Conjuring,13000000,14.90169,2013,"348,981,270.62",112,7.4,3169,Horror,Mystery & Suspense,,48,215,1
200,Aladdin,28000000,16.357419,1992,"918,643,200.27",90,7.4,3495,Action & Adventure,Kids & Family,Science Fiction & Fantasy,44,347,1
201,Aladdin,28000000,16.357419,1992,"918,643,200.27",90,7.4,3495,Action & Adventure,Animation,Comedy,44,347,1
202,Harry Potter and the Half-Blood Prince,250000000,19.083723,2009,"1,113,349,028.78",153,7.4,5435,Action & Adventure,Drama,Kids & Family,57,272,1
203,Halloween,300000,13.672759,1978,"274,524,539.88",91,7.4,1066,Horror,Mystery & Suspense,,10,64,2
204,Halloween,300000,13.672759,1978,"274,524,539.88",91,7.4,1066,Horror,,,10,64,2
205,Halloween,300000,13.672759,1978,"274,524,539.88",91,7.4,1066,Horror,,,10,64,2
206,The Royal Tenenbaums,21000000,9.707542,2001,"103,148,095.00",110,7.4,1317,Comedy,,,49,204,1
207,Groundhog Day,14600000,12.989627,1993,"125,473,446.34",101,7.4,2358,Comedy,Science Fiction & Fantasy,Special Interest,17,63,1
208,Lucky Number Slevin,27000000,11.15092,2006,"71,419,547.97",110,7.4,1356,Drama,Mystery & Suspense,,46,149,1
209,Anastasia,53000000,11.911173,1997,"222,728,796.16",94,7.4,1481,Classics,Drama,,0,6,2
210,Anastasia,53000000,11.911173,1997,"222,728,796.16",94,7.4,1481,Action & Adventure,Animation,Drama,0,6,2
211,Children of Men,76000000,14.114606,2006,"88,733,672.28",109,7.4,2120,Drama,Mystery & Suspense,Science Fiction & Fantasy,53,245,1
212,Rogue One: A Star Wars Story,200000000,36.567575,2016,"1,125,141,019.61",133,7.4,5111,Action & Adventure,Drama,Science Fiction & Fantasy,62,427,1
213,Blood Diamond,100000000,12.477872,2006,"216,733,547.23",143,7.4,2344,Action & Adventure,Drama,Mystery & Suspense,53,209,1
214,American Sniper,58800000,19.228561,2014,"585,838,648.34",133,7.4,4600,Action & Adventure,Drama,,52,287,1
215,Hot Fuzz,12000000,13.535195,2007,"99,385,981.73",121,7.4,2252,Action & Adventure,Comedy,Drama,52,197,1
216,Harry Potter and the Chamber of Secrets,100000000,29.741452,2002,"1,246,076,958.57",161,7.4,5966,Kids & Family,Science Fiction & Fantasy,,52,230,1
217,Harry Potter and the Order of the Phoenix,150000000,21.3643,2007,"1,157,264,819.62",138,7.4,5633,Action & Adventure,Drama,Kids & Family,52,249,1
218,Atonement,30000000,8.913338,2007,"159,446,849.00",123,7.4,1075,Drama,Romance,,52,209,1
219,American Gangster,100000000,9.644542,2007,"328,678,774.53",157,7.4,1527,Drama,,,54,209,1
