Column1,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power,first_genre
175,Harry Potter and the Deathly Hallows: Part 1,293099495,23.300362,2010,1118826274,146,7.5,5708,0,None
176,Harry Potter and the Philosopher's Stone,180477131,38.187238,2001,1409852050,152,7.5,7188,0,None
177,Manchester by the Sea,9588750,12.821257000000001,2016,79934978,135,7.5,1553,1,Drama
178,Ratatouille,185021707,20.508029999999998,2007,769348405,111,7.5,4510,0,Animation
179,How to Train Your Dragon,193445667,14.416681,2010,580194858,98,7.5,4319,1,Animation
180,Cast Away,133641114,21.296343,2000,637961316,143,7.5,3304,1,Action & Adventure
181,Fantastic Mr. Fox,47682983,8.695893,2009,55396925,87,7.5,1206,1,Action & Adventure
182,Beauty and the Beast,46934654,23.433511,1991,708432719,84,7.5,3029,1,Animation
183,A Walk to Remember,15634797,8.054499,2002,58597896,101,7.5,1057,0,Drama
184,Platoon,13998175,18.206972,1986,323195852,120,7.5,1236,1,Action & Adventure
185,Seven Pounds,65320483,21.708267000000003,2008,199723541,123,7.5,2092,1,Drama
186,Still Alice,5401351,8.823253,2014,47407289,99,7.5,1126,1,Drama
188,X-Men: Days of Future Past,270067596,26.058586,2014,807894007,131,7.5,6155,1,Action & Adventure
189,Rocky,4493848,14.774066,1976,526837031,119,7.5,1843,1,Drama
190,The Blues Brothers,83785194,10.076901,1980,357576248,133,7.5,1092,0,Action & Adventure
191,"Lock, Stock and Two Smoking Barrels",2117760,4.60786,1998,6114161,105,7.5,1671,0,Action & Adventure
192,Gattaca,57353271,12.89312,1997,19966548,106,7.5,1846,1,Drama
193,Boyhood,4321081,6.430591000000001,2014,47908911,164,7.5,2008,0,Drama
196,Edward Scissorhands,39127773,17.612244,1990,103688599,105,7.5,3731,1,Drama
197,The Game,79657320,14.825586999999999,1997,174327892,129,7.5,1556,1,Mystery & Suspense
198,The Lego Movie,64816223,16.418132999999997,2014,506820401,100,7.5,3127,0,Action & Adventure
200,Blow,76522303,12.332222999999999,2001,120244399,124,7.4,1352,1,Drama
201,Twelve Monkeys,49495734,12.297305,1995,283283385,129,7.4,2470,0,None
202,Fury,73458386,36.713807,2014,228820610,135,7.4,4028,2,Classics
203,Star Trek,178811188,15.362632000000001,2009,459759860,127,7.4,4574,1,Action & Adventure
204,Back to the Future Part II,82483870,13.689855,1989,684616129,108,7.4,3926,1,Comedy
205,Birdman,19444866,18.193263,2014,111500209,119,7.4,4657,1,Comedy
206,The Danish Girl,16183544,11.245661,2015,69256423,120,7.4,1689,1,Drama
207,The Conjuring,14266523,14.901689999999999,2013,348981270,112,7.4,3169,1,Horror
208,Aladdin,51030648,16.357419,1992,918643200,90,7.4,3495,1,Action & Adventure
209,Harry Potter and the Half-Blood Prince,298018648,19.083723000000003,2009,1113349028,153,7.4,5435,1,Action & Adventure
210,Halloween,1176533,13.672759,1978,274524539,91,7.4,1066,2,Horror
211,The Royal Tenenbaums,30320158,9.707542,2001,103148095,110,7.4,1317,1,Comedy
212,Groundhog Day,25835432,12.989627,1993,125473446,101,7.4,2358,1,Comedy
213,Lucky Number Slevin,34245535,11.15092,2006,71419547,110,7.4,1356,1,Drama
214,Anastasia,84436760,11.911173,1997,222728796,94,7.4,1481,2,Classics
215,Children of Men,96394841,14.114606,2006,88733672,109,7.4,2120,1,Drama
216,Rogue One: A Star Wars Story,213083333,36.567575,2016,1125141019,133,7.4,5111,1,Action & Adventure
217,Blood Diamond,126835317,12.477872,2006,216733547,143,7.4,2344,1,Action & Adventure
218,American Sniper,63519898,19.228561,2014,585838648,133,7.4,4600,1,Action & Adventure
219,Hot Fuzz,14801736,13.535195000000002,2007,99385981,121,7.4,2252,1,Action & Adventure
220,Harry Potter and the Chamber of Secrets,142134519,29.741452000000002,2002,1246076958,161,7.4,5966,1,Kids & Family
221,Harry Potter and the Order of the Phoenix,185021707,21.3643,2007,1157264819,138,7.4,5633,1,Action & Adventure
222,Atonement,37004341,8.913338000000001,2007,159446849,123,7.4,1075,1,Drama
223,American Gangster,123347805,9.644542,2007,328678774,157,7.4,1527,1,Drama
224,Serenity,51061443,11.919995,2005,50890537,119,7.4,1287,1,Action & Adventure
225,In Bruges,17814677,9.895652,2008,41013879,107,7.4,1414,1,Comedy
226,Iron Man,166270320,22.073099,2008,694979324,126,7.4,8951,1,Action & Adventure
227,Deadpool,61794166,187.860492,2016,834341619,108,7.4,11444,1,Action & Adventure
228,Lone Survivor,43896995,10.855502,2013,163840708,121,7.4,1549,1,Action & Adventure
229,The Goonies,45151486,14.280702999999999,1985,146155881,114,7.4,1563,1,Action & Adventure
230,The Incredibles,124533615,22.220214000000002,2004,854736595,115,7.4,5290,1,Animation
231,Midnight in Paris,34108492,11.43256,2011,171814959,94,7.4,2049,1,Comedy
232,Star Trek Into Darkness,208510729,15.78129,2013,512898254,132,7.4,4479,1,Science Fiction & Fantasy
233,The Age of Adaline,26972573,10.542026,2015,70844302,112,7.4,2052,1,Drama
234,Office Space,15348139,12.329066000000001,1999,19688306,89,7.4,1068,0,Comedy
235,The Hunger Games: Catching Fire,142665236,25.309139000000002,2013,929983590,146,7.4,6656,1,Action & Adventure
236,Mary Poppins,49490322,15.11549,1964,843585041,139,7.4,1217,1,Classics
237,Donnie Brasco,55760124,12.201953999999999,1997,66840453,127,7.4,1175,1,Drama
