title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
The Incredibles,92000000,22.220214000000002,2004,631442092,115,7.4,5290
Midnight in Paris,30000000,11.43256,2011,151119219,94,7.4,2049
Star Trek Into Darkness,190000000,15.78129,2013,467365246,132,7.4,4479
The Age of Adaline,25000000,10.542026,2015,65663276,112,7.4,2052
Office Space,10000000,12.329066000000001,1999,12827813,89,7.4,1068
The Hunger Games: Catching Fire,130000000,25.309139000000002,2013,847423452,146,7.4,6656
Mary Poppins,6000000,15.11549,1964,102272727,139,7.4,1217
Donnie Brasco,35000000,12.201953999999999,1997,41954997,127,7.4,1175
The Avengers,220000000,89.887648,2012,1519557910,143,7.4,12000
The Wizard of Oz,2777000,22.064932000000002,1939,33754967,102,7.4,1689
Drive,15000000,15.388875,2011,78054825,100,7.4,3832
Moulin Rouge!,52500000,13.691781,2001,179213434,127,7.4,1348
The Terminator,6400000,19.293561999999998,1984,78371200,108,7.4,4208
Tangled,260000000,14.684760999999998,2010,591794936,100,7.4,3419
Hercules,85000000,14.048694,1997,252712101,93,7.3,1741
Lost in Translation,4000000,11.609441,2003,119723856,102,7.3,1943
Black Swan,13000000,12.989056,2010,327803731,108,7.3,4562
If I Stay,11000000,9.659244000000001,2014,78874843,106,7.3,1415
The Bourne Identity,60000000,21.040126,2002,214034224,119,7.3,3640
Pitch Perfect,17000000,11.03595,2012,115350426,112,7.3,2310
10 Things I Hate About You,16000000,12.069966,1999,53478166,97,7.3,1768
Road to Perdition,80000000,13.426684,2002,181001478,117,7.3,1102
Moonlight,4000000,14.171675,2016,65046687,111,7.3,1831
Unbroken,65000000,10.543955,2014,163442937,137,7.3,1437
The Bourne Ultimatum,70000000,18.173269,2007,442824138,115,7.3,2938
Mad Max: Fury Road,150000000,29.36178,2015,378858340,120,7.3,9629
The Longest Ride,34000000,10.264416,2015,63013281,128,7.3,1083
Zodiac,65000000,19.083823000000002,2007,84785914,157,7.3,2080
Carol,11800000,8.364201,2015,40272135,118,7.3,1014
E.T. the Extra-Terrestrial,10500000,19.358546,1982,792965326,115,7.3,3359
Gravity,105000000,18.50194,2013,716392705,91,7.3,5879
The Fifth Element,90000000,24.30526,1997,263920180,126,7.3,3962
Moana,150000000,9.143457,2016,643034466,107,7.3,3471
Casino Royale,150000000,23.065078,2006,599045960,144,7.3,3930
Ghostbusters,30000000,22.089729000000002,1984,295212467,107,7.3,2431
Man on Fire,70000000,9.635691,2004,130293714,146,7.3,1583
Apollo 13,52000000,18.761467,1995,355237933,140,7.3,1637
Apocalypto,40000000,7.735233,2006,120175290,139,7.3,1252
The Great Gatsby,105000000,17.598936,2013,351040419,143,7.3,3885
Jackie Brown,12000000,16.415498,1997,39673162,154,7.3,1580
Saving Mr. Banks,35000000,15.130888,2013,112544580,125,7.3,1256
Now You See Me,75000000,17.852022,2013,117698894,115,7.3,5635
Inside Man,45000000,13.393548000000001,2006,184376254,129,7.3,1671
Avengers: Age of Ultron,280000000,37.37942,2015,1405403694,141,7.3,6908
The Artist,15000000,11.440947999999999,2011,133432856,100,7.3,1075
"O Brother, Where Art Thou?",26000000,12.434175,2000,71868327,106,7.3,1144
The Revenant,135000000,23.501228,2015,532950503,156,7.3,6558
Predator,18000000,18.495694,1987,98235548,107,7.3,2129
Creed,37000000,33.449723,2015,173567581,133,7.3,1963
Frozen,150000000,24.248243,2013,1274219009,102,7.3,5440
Begin Again,8000000,10.289628,2013,63464861,104,7.3,1285
The Last Samurai,140000000,19.582325,2003,456758981,154,7.3,1946
Coraline,60000000,16.639915,2009,124596398,100,7.3,1432
District 9,30000000,11.589835,2009,210819611,112,7.3,3451
The Curious Case of Benjamin Button,150000000,17.934821,2008,333932083,166,7.3,3398
Dawn of the Planet of the Apes,170000000,75.385211,2014,710644566,130,7.3,4511
