,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power
994,Lara Croft: Tomb Raider,115000000,15.851722,2001,"396,621,366.67",100,5.7,2235,0
995,Jurassic Park III,93000000,0.648867,2001,"532,452,020.67",92,5.7,2109,0
996,Batman v Superman: Dawn of Justice,250000000,31.435878999999996,2016,"930,385,965.02",151,5.7,7189,1
997,Valentine's Day,52000000,7.4667210000000015,2010,"253,807,344.01",125,5.7,1043,1
998,Hansel & Gretel: Witch Hunters,50000000,10.337211,2013,"246,704,929.43",88,5.7,3290,0
999,Oz: The Great and Powerful,200000000,11.137329,2013,"539,788,788.51",130,5.7,3576,0
1000,Indiana Jones and the Kingdom of the Crystal Skull,185000000,12.577266,2008,"934,244,466.50",122,5.7,2558,1
1001,Exodus: Gods and Kings,140000000,16.320249,2014,"289,546,845.88",150,5.6,1957,1
1002,Ice Age: Collision Course,105000000,20.151037,2016,"435,306,916.74",100,5.6,1170,0
1003,Resident Evil: Retribution,65000000,0.948759,2012,"267,459,588.43",95,5.6,1618,0
1004,Into the Woods,50000000,9.580785,2014,"229,992,127.25",125,5.6,1688,1
1005,The 5th Wave,38000000,10.788263,2016,"117,096,080.50",112,5.6,1993,1
