Column1,title,rotten_tomatoes_link,star_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,revenue,top_critic_review_count,review_count
203,Colors,/m/1004485-colors,86,72,28428,7,26,6,46616067,6,18
204,Commando,/m/1004567-commando,40,67,138087,4,23,10,57500000,4,24
205,Convoy,/m/1004703-convoy,22,73,9457,3,6,8,22765081,3,11
206,Creature from the Black Lagoon,/m/1004906-creature_from_the_black_lagoon,15,73,23562,4,28,5,1300000,4,25
207,Crossroads,/m/1004995-crossroads,44,82,10484,2,11,4,61141030,2,7
211,Dangerous Liaisons,/m/1005199-dangerous_liaisons,15,83,46530,8,28,2,34670720,7,20
215,The Day the Earth Stood Still,/m/1005371-day_the_earth_stood_still,41,87,34226,6,52,3,233093859,6,44
217,Dillinger,/m/1005865-dillinger,19,73,2522,1,12,1,2000000,1,7
218,Doctor Zhivago,/m/1006037-doctor_zhivago,39,88,45728,14,38,8,111858363,14,38
219,How the Grinch Stole Christmas,/m/1006223-how_the_grinch_stole_christmas,4,96,26,5,25,0,345141403,5,16
220,Dracula,/m/1006234-dracula,29,82,44693,7,42,4,215862692,7,37
238,Dragnet,/m/1006250-dragnet,42,41,35152,8,17,17,66673516,7,22
239,The Dream Team,/m/1006287-dream_team,66,61,8271,1,7,6,28890240,1,8
240,Dressed to Kill,/m/1006299-dressed_to_kill,21,74,10540,5,39,8,31899000,5,33
241,Dune,/m/1006364-dune,24,66,70749,9,25,22,30925690,9,39
242,The Elephant Man,/m/1006527-elephant_man,59,93,64436,9,43,4,26010864,9,38
243,The Enforcer,/m/1006646-enforcer,28,59,15973,1,22,6,46236000,1,13
247,Escape from New York,/m/1006717-escape_from_new_york,35,76,72560,9,53,9,50244700,9,50
248,Exodus,/m/1006872-exodus,33,70,4248,3,10,5,21750000,3,11
249,The Fan,/m/1007070-fan,49,33,1128,1,6,8,18626419,1,7
251,"Farewell, My Lovely",/m/1007110-farewell_my_lovely,41,74,1461,5,16,4,2000000,5,15
252,Fatal Attraction,/m/1007141-fatal_attraction,33,71,52960,9,36,12,320145693,8,38
253,Father of the Bride,/m/1007154-father_of_the_bride,76,74,13890,6,28,2,89325780,6,18
255,Flash Gordon,/m/1007517-flash_gordon,103,69,46662,4,32,8,27107960,4,33
256,Flashback,/m/1007522-flashback,30,61,5801,1,5,8,6488144,1,4
257,Flipper,/m/1007573-flipper,10,49,26368,0,2,3,20080020,0,2
259,The Fly,/m/1007600-fly,13,71,11138,5,37,2,3000000,5,28
267,Footloose,/m/1007657-footloose,51,71,270239,6,20,19,80035402,6,29
271,The Four Feathers,/m/1007745-four_feathers,19,86,2885,0,9,0,29882645,0,5
273,Frantic,/m/1007832-frantic,44,64,22055,6,32,9,17637950,6,26
274,Freaky Friday,/m/1007839-freaky_friday,31,57,65734,4,16,7,110230332,4,13
276,Fright Night,/m/1007910-fright_night,21,76,49651,5,32,3,24922237,5,27
280,From Here to Eternity,/m/1007931-from_here_to_eternity,60,84,14848,14,48,4,30500000,14,46
281,The Fugitive,/m/1007962-fugitive,14,61,576,0,6,1,368875760,0,5
